timestamp,memory_usage_bytes
0,783966208
1,933453824
2,933453824
3,933498880
4,934195200
5,934170624
6,934158336
7,934236160
8,934223872
9,934211584
10,934187008
11,934825984
12,934813696
13,934957056
14,934944768
15,935084032
16,935243776
17,935235584
18,935223296
19,935211008
20,935198720
21,935260160
22,935247872
23,935235584
24,935223296
25,935346176
26,935321600
27,935309312
28,935297024
29,935272448
30,935260160
31,935247872
32,935235584
33,935223296
34,935333888
35,935321600
36,935309312
37,935297024
38,935284736
39,935260160
40,935247872
41,935235584
42,935223296
43,936632320
44,936632320
