timestamp,memory_usage_bytes
0,684761088
1,729395200
2,729395200
3,729395200
4,794542080
5,836927488
6,836927488
7,836927488
8,875208704
9,817299456
10,817299456
11,817299456
12,855584768
13,873619456
14,873619456
15,873619456
16,873619456
17,894734336
18,856469504
19,856469504
20,856469504
21,894750720
22,856469504
23,856469504
24,856469504
25,856469504
26,896839680
27,896839680
28,896839680
29,896839680
30,877441024
31,858566656
32,858566656
33,858566656
34,896847872
35,1204166656
36,1204166656
